temps1,data1,temps2,data2
22.7439573,646.4505523,20.72437261,601.706682
24.3317308,698.0882659,24.01423832,670.1984012
23.5102245,716.899972,19.61009904,613.4682109
21.8762854,694.5819743,22.07807192,645.5743059
22.2425429,691.983934,21.64162514,653.1735151
27.0957765,683.730214,19.23344957,595.1410263
28.6534832,586.0684687,21.74112865,627.7574047
24.5708848,664.4194457,21.50684654,640.4657989
28.2175066,609.6369682,22.00429017,658.75625
26.3480204,663.0793735,26.81180366,677.1258601
22.1732933,674.4297194,19.29414948,608.306859
29.4199317,511.0611826,23.52616493,668.5464243
29.9475748,382.1526303,22.45113909,683.1575172
23.2813713,506.8076711,23.28137127,705.8809963
24.6613781,613.5145168,24.36717522,729.5779804
19.7868307,589.5137637,22.28775393,709.9833126
26.2861717,652.7140413,26.27081185,718.350311
28.2868626,599.1071418,24.64748232,737.0342015
25.7824727,667.0630479,19.40781959,638.7317787
27.4243652,656.8006272,20.47665253,620.5984535
25.71095,700.5103009,17.91646942,545.1770962
25.248494,727.4105971,19.94433491,555.4783631
24.3530104,740.1661241,23.35615965,634.3624868
25.8184305,741.4020749,20.52915069,619.6797702
21.4757332,696.326267,21.06061752,625.2863013
24.3813233,724.8159487,20.36641289,610.7269035
28.7212289,598.6289293,18.37548225,551.7440369
19.1028708,564.0048751,18.60254335,526.0503979
22.461712,624.5375825,19.56223682,534.7431831
28.203879,590.5675698,24.21034659,630.1902097
20.3083807,590.4878592,20.5800683,618.7998142
28.0588838,581.7274811,24.38132326,682.8460158
24.0435852,658.5262142,24.45885604,718.2765901
26.7691999,678.3975097,23.1710329,721.7256376
27.2948715,668.5003186,22.35422843,707.6786695
25.5481737,708.5562483,23.94778929,727.0585315
21.2264395,674.6441179,26.97787901,705.3702188
27.0773913,675.733766,22.55523424,703.9276079
24.535961,714.8939274,22.27652019,697.3489097
29.3462838,535.4613483,24.43775595,725.6469086
28.2312137,539.6947089,26.20976121,727.3741499
24.8758798,635.8045805,22.50363379,713.5468913
31.2071054,280.6919446,22.68554161,710.5532067
28.8092219,323.438119,24.00688416,729.0850176
22.9681712,450.2115302,20.76995314,672.3790398
24.0142383,569.1141864,21.0797539,653.2161757
24.9586391,654.4878864,22.52437854,676.5843573
28.4172639,590.6137787,23.33136775,703.248729
29.5502267,460.533093,25.08962783,729.4507671
28.2450015,492.039964,27.99570983,654.8624214
21.5068465,558.7705538,25.86176596,697.4333125
24.0509048,644.3955599,22.36515772,696.0415611
28.4023951,586.75904,24.05821767,722.2488567
24.4166227,664.1757506,25.43609426,737.0206962
20.5548,635.5859927,25.64698959,742.1279855
24.6196634,693.3857297,24.89657721,748.9095889
22.8949957,704.523577,25.1448247,751.6215352
23.4942338,719.9130059,28.44730496,632.4686897
23.7750331,731.2138588,24.39545495,690.6868032
30.2131693,441.2584291,25.63282478,719.2682264
25.8472976,560.0744957,24.88277964,737.7923423
19.8676867,562.2112131,21.76878632,701.873816
23.7978278,644.0992802,22.80137241,707.0345468
25.9857617,689.6211318,22.77278623,709.0492082
27.8384234,645.9682742,20.98209526,668.5989559
20.3664129,621.4601908,21.04128845,650.3421683
27.1797015,643.4841359,21.2440347,646.0773299
24.3742513,696.7063321,21.09870231,640.250764
21.2959188,670.6855345,18.49455015,569.4651038
24.138234,709.769023,20.44977327,582.1274191
26.5379017,711.4857513,24.54993916,661.9544269
23.6364115,725.3214994,22.66583661,683.9972738
27.4653018,683.1868997,23.11910815,703.6796929
25.0896278,719.1492129,22.06592151,692.5543256
23.0131826,719.4330191,20.87908906,658.0122657
25.5692847,734.4139726,22.97721672,687.6582179
24.458856,744.1602995,23.43785838,710.5561229
24.5639057,749.3033197,23.70613334,725.7484264
24.5009621,751.4853668,21.55269504,690.9729794
30.7665504,374.019689,22.63605225,698.3685928
22.6260624,490.6547551,22.32118684,695.5672249
23.8807201,597.4692204,22.73429252,702.5998331
22.7535944,649.9607282,23.93294042,724.3525127
23.022121,684.1223315,25.29698507,739.0353611
27.1235313,678.6823524,24.62662169,747.063373
31.7574743,219.7936961,22.23112323,716.9206117
20.9415747,314.6918436,21.78249338,692.3703004
24.5778611,455.109019,20.85778026,657.3693359
24.1743613,574.0146999,23.40534817,694.1982586
22.6559391,634.2816322,21.56776677,676.1815916
21.491346,643.6077725,17.08505522,550.7156315
26.0670596,687.9291215,20.15337168,563.9001826
26.5783692,699.4185243,22.11418552,617.4866536
24.6266217,727.4728398,25.13102088,683.0349102
24.9241649,741.8058414,24.76534581,719.3308824
30.5921804,394.9478715,20.79231413,668.4602468
24.1309909,525.9460293,20.24818061,629.6471707
22.9772167,609.6641675,22.53469825,664.0238945
23.2052895,664.6844634,21.46000595,658.4253371
26.1945924,696.8027603,22.42987945,677.4250266
25.1586322,725.9350639,23.81297834,710.1193026
25.9344761,732.745567,22.98624044,714.5254348
20.5291507,667.599502,25.73235419,730.1050367
28.11061,618.3509282,24.26050128,740.8604942
24.472905,683.0542713,22.02912181,709.4524037
25.4360943,717.1982453,20.50310646,656.150256
25.0275734,736.5977602,25.06204431,704.8485533
23.8205401,739.8498676,21.2086885,672.4171197
21.3129237,691.4921385,23.7368532,706.6038668
27.7010574,654.7072329,24.47290502,730.5106831
22.7051285,680.9147922,26.23258377,729.224557
22.4405284,689.3045173,27.19862759,697.4300829
25.1379224,722.1632072,25.10342279,726.4516521
28.447305,619.7081063,24.33882841,739.6090816
28.5242668,565.4019138,24.33173084,745.9346665
28.3009869,552.3342918,27.28512163,701.3255214
27.4142148,593.6521647,23.97000538,724.0866638
26.3948568,652.6965392,24.77226345,740.1109161
23.2477229,689.3029107,26.71025689,720.9023133
25.8690091,715.4683132,26.65208938,713.5721759
25.1655374,735.3108255,24.61270273,734.5577239
24.0655239,741.7792359,25.30391956,743.9616686
22.1849589,713.4351097,22.75359439,726.4443509
21.552695,685.1371354,21.8365392,698.1821363
26.8983493,687.7623009,25.94909521,718.7294644
26.7776864,693.2117084,25.66826916,732.9758197
25.8907749,717.136712,25.89077492,741.5942277
24.437756,735.5952609,24.43775595,745.5598789
24.6544313,745.4854968,24.6544313,633.9974284
19.3521905,640.8735171,19.3521905,652.6998542
23.3479106,684.4001981,23.34791062,702.7764034
18.0916031,579.7816272,18.0916031,714.5895393
24.7168783,660.9800032,24.7168783,728.9643491
21.8498611,666.0883287,21.84986108,742.3190698
26.6686322,685.5086098,26.66863225,744.3611336
25.3455687,719.1350564,25.3455687,748.4901143
23.9995229,733.2691213,23.99952289,717.3233737
25.096525,744.294516,25.096525,711.8068235
26.5540482,727.6165158,26.55404824,693.348476
